timestep,distance
1,2.84
2,2.82
3,2.83
4,2.81
5,2.8
6,2.83
7,2.84
8,2.91
9,2.84
10,2.84
11,2.81
12,2.81
13,2.83
14,2.82
15,2.78
16,2.82
17,2.83
18,2.83
19,2.83
20,2.84
21,2.84
22,2.83
23,2.83
24,2.83
25,2.85
26,2.83
27,2.85
28,2.84
29,2.84
30,2.84
31,2.82
32,2.82
33,2.83
34,2.84
35,2.82
36,2.84
37,2.83
38,2.86
39,2.85
40,2.84
41,2.85
42,2.83
43,2.86
44,2.81
45,2.8
46,2.82
47,2.83
48,2.84
49,2.84
50,2.82
51,2.85
52,2.85
53,2.86
54,2.85
55,2.83
56,2.83
57,2.86
58,2.87
59,2.84
60,2.86
61,2.85
62,2.84
63,2.83
64,2.86
65,2.79
66,2.82
67,2.81
68,2.84
69,2.83
70,2.82
71,2.82
72,2.84
73,2.82
74,2.83
75,2.83
76,2.8
77,2.84
78,2.84
79,2.81
80,2.81
81,2.8
82,2.81
83,2.79
84,2.84
85,2.82
86,2.81
87,2.81
88,2.86
89,2.84
90,2.85
91,2.81
92,2.82
93,2.83
94,2.84
95,2.81
96,2.8
97,2.83
98,2.82
99,2.83
100,2.82
101,2.79
102,2.84
103,2.82
104,2.8
105,2.79
106,2.83
107,2.78
108,2.85
109,2.8
110,2.83
111,2.8
112,2.82
113,2.85
114,2.8
115,2.82
116,2.85
117,2.83
118,2.81
119,2.83
120,2.81
121,2.81
122,2.82
123,2.82
124,2.84
125,2.84
126,2.78
127,2.83
128,2.85
129,2.8
130,2.82
131,2.81
132,2.83
133,2.82
134,2.84
135,2.79
136,2.86
137,2.8
138,2.83
139,2.82
140,2.82
141,2.8
142,2.83
143,2.83
144,2.84
145,2.78
146,2.82
147,2.8
148,2.85
149,2.84
150,2.82
151,2.8
152,2.81
153,2.84
154,2.81
155,2.8
156,2.8
157,2.83
158,2.84
159,2.84
160,2.82
161,2.82
162,2.83
163,2.85
164,2.81
165,2.79
166,2.83
167,2.84
168,2.82
169,2.84
170,2.83
171,2.82
172,2.83
173,2.79
174,2.83
175,2.84
176,2.84
177,2.84
178,2.82
179,2.85
180,2.84
181,2.85
182,2.85
183,2.81
184,2.8
185,2.83
186,2.81
187,2.84
188,2.82
189,2.82
190,2.8
191,2.8
192,2.81
193,2.82
194,2.81
195,2.81
196,2.78
197,2.8
198,2.84
199,2.81
200,2.85
201,2.79
202,2.85
203,2.81
204,2.83
205,2.82
206,2.83
207,2.83
208,2.84
209,2.82
210,2.84
211,2.82
212,2.82
213,2.81
214,2.81
215,2.83
216,2.81
217,2.82
218,2.83
219,2.79
220,2.8
221,2.79
222,2.79
223,2.79
224,2.83
225,2.82
226,2.85
227,2.82
228,2.83
229,2.83
230,2.8
231,2.79
232,2.83
233,2.84
234,2.81
235,2.84
236,2.82
237,2.83
238,2.83
239,2.79
240,2.81
241,2.8
242,2.82
243,2.84
244,2.83
245,2.84
246,2.86
247,2.78
248,2.8
249,2.84
250,2.81
