timestep,distance
1,2.75
2,2.94
3,2.87
4,2.8
5,2.76
6,2.79
7,2.82
8,2.81
9,2.82
10,2.8
11,2.81
12,2.76
13,2.83
14,2.79
15,2.78
16,2.8
17,2.82
18,2.88
19,2.85
20,2.76
21,2.78
22,2.77
23,2.77
24,2.82
25,2.75
26,2.73
27,2.78
28,2.78
29,2.73
30,2.72
31,2.81
32,2.71
33,2.76
34,2.73
35,2.74
36,2.8
37,2.77
38,2.78
39,2.72
40,2.77
41,2.79
42,2.78
43,2.75
44,2.8
45,2.77
46,2.77
47,2.83
48,2.8
49,2.79
50,2.75
51,2.78
52,2.77
53,2.78
54,2.82
55,2.74
56,2.79
57,2.76
58,2.79
59,2.75
60,2.74
61,2.75
62,2.77
63,2.75
64,2.8
65,2.77
66,2.73
67,2.77
68,2.77
69,2.72
70,2.8
71,2.77
72,2.8
73,2.75
74,2.72
75,2.74
76,2.79
77,2.79
78,2.8
79,2.77
80,2.74
81,2.8
82,2.78
83,2.72
84,2.79
85,2.75
86,2.77
87,2.74
88,2.78
89,2.8
90,2.77
91,2.76
92,2.75
93,2.8
94,2.75
95,2.75
96,2.73
97,2.75
98,2.82
99,2.75
100,2.74
101,2.77
102,2.81
103,2.73
104,2.81
105,2.75
106,2.78
107,2.8
108,2.76
109,2.78
110,2.79
111,2.81
112,2.78
113,2.77
114,2.76
115,2.79
116,2.8
117,2.76
118,2.76
119,2.8
120,2.76
121,2.76
122,2.79
123,2.81
124,2.77
125,2.73
126,2.84
127,2.72
128,2.75
129,2.76
130,2.75
131,2.76
132,2.8
133,2.77
134,2.73
135,2.74
136,2.77
137,2.76
138,2.79
139,2.73
140,2.74
141,2.74
142,2.77
143,2.8
144,2.77
145,2.76
146,2.77
147,2.75
148,2.74
149,2.77
150,2.74
151,2.74
152,2.78
153,2.72
154,2.76
155,2.8
156,2.76
157,2.79
158,2.76
159,2.75
160,2.77
161,2.75
162,2.79
163,2.79
164,2.8
165,2.74
166,2.78
167,2.8
168,2.77
169,2.8
170,2.85
171,2.79
172,2.8
173,2.7
174,2.8
175,2.77
176,2.75
177,2.81
178,2.79
179,2.79
180,2.81
181,2.79
182,2.8
183,2.85
184,2.76
185,2.78
186,2.8
187,2.79
188,2.85
189,2.73
190,2.77
191,2.81
192,2.74
193,2.76
194,2.77
195,2.73
196,2.78
197,2.8
198,2.74
199,2.76
200,2.79
201,2.82
202,2.79
203,2.79
204,2.75
205,2.77
206,2.81
207,2.79
208,2.8
209,2.76
210,2.78
211,2.83
212,2.8
213,2.78
214,2.74
215,2.83
216,2.8
217,2.8
218,2.81
219,2.86
220,2.81
221,2.82
222,2.82
223,2.86
224,2.81
225,2.75
226,2.77
227,2.82
228,2.8
229,2.82
230,2.77
231,2.76
232,2.77
233,2.81
234,2.85
235,2.8
236,2.79
237,2.87
238,2.82
239,2.81
240,2.79
241,2.81
242,2.76
243,2.83
244,2.81
245,2.78
246,2.82
247,2.83
248,2.8
249,2.8
250,2.8
