timestep,distance
1,0.49
2,0.51
3,0.49
4,0.43
5,0.48
6,0.49
7,0.45
8,0.51
9,0.47
10,0.49
11,0.47
12,0.47
13,0.45
14,0.49
15,0.49
16,0.51
17,0.49
18,0.47
19,0.51
20,0.5
21,0.5
22,0.49
23,0.51
24,0.5
25,0.48
26,0.51
27,0.49
28,0.51
29,0.45
30,0.46
31,0.51
32,0.5
33,0.49
34,0.48
35,0.49
36,0.48
37,0.52
38,0.48
39,0.49
40,0.51
41,0.5
42,0.48
43,0.48
44,0.49
45,0.49
46,0.47
47,0.48
48,0.46
49,0.42
50,0.5
51,0.46
52,0.49
53,0.48
54,0.5
55,0.48
56,0.5
57,0.51
58,0.48
59,0.51
60,0.47
61,0.48
62,0.45
63,0.49
64,0.47
65,0.44
66,0.51
67,0.5
68,0.51
69,0.48
70,0.47
71,0.46
72,0.46
73,0.5
74,0.47
75,0.45
76,0.46
77,0.5
78,0.51
79,0.5
80,0.45
81,0.5
82,0.47
83,0.5
84,0.5
85,0.49
86,0.51
87,0.49
88,0.51
89,0.51
90,0.51
91,0.5
92,0.48
93,0.51
94,0.48
95,0.51
96,0.51
97,0.51
98,0.5
99,0.5
100,0.5
101,0.48
102,0.48
103,0.51
104,0.46
105,0.48
106,0.49
107,0.45
108,0.48
109,0.48
110,0.49
111,0.51
112,0.46
113,0.49
114,0.5
115,0.45
116,0.51
117,0.48
118,0.49
119,0.49
120,0.46
121,0.47
122,0.5
123,0.48
124,0.5
125,0.51
126,0.51
127,0.48
128,0.48
129,0.47
130,0.5
131,0.51
132,0.51
133,0.48
134,0.5
135,0.5
136,0.47
137,0.51
138,0.51
139,0.5
140,0.49
141,0.51
142,0.51
143,0.52
144,0.5
145,0.51
146,0.49
147,0.51
148,0.49
149,0.5
150,0.5
151,0.5
152,0.46
153,0.51
154,0.48
155,0.49
156,0.47
157,0.47
158,0.5
159,0.5
160,0.48
161,0.47
162,0.47
163,0.51
164,0.46
165,0.43
166,0.47
167,0.49
168,0.44
169,0.5
170,0.5
171,0.49
172,0.48
173,0.43
174,0.51
175,0.5
176,0.5
177,0.48
178,0.5
179,0.51
180,0.51
181,0.5
182,0.47
183,0.51
184,0.49
185,0.49
186,0.5
187,0.5
188,0.5
189,0.51
190,0.47
191,0.44
192,0.45
193,0.47
194,0.5
195,0.48
196,0.45
197,0.47
198,0.48
199,0.47
200,0.49
201,0.49
202,0.49
203,0.51
204,0.5
205,0.49
206,0.5
207,0.47
208,0.5
209,0.47
210,0.49
211,0.51
212,0.49
213,0.5
214,0.48
215,0.47
216,0.49
217,0.51
218,0.51
219,0.51
220,0.51
221,0.5
222,0.5
223,0.51
224,0.5
225,0.51
226,0.53
227,0.48
228,0.5
229,0.47
230,0.47
231,0.5
232,0.5
233,0.44
234,0.5
235,0.51
236,0.47
237,0.51
238,0.45
239,0.48
240,0.49
241,0.51
242,0.49
243,0.51
244,0.51
245,0.48
246,0.48
247,0.49
248,0.44
249,0.51
250,0.47
